DOW,Rooms,Rate
1,700,$216.79 
1,1020,$201.64 
1,1327,$136.60 
1,2087,$118.10 
1,757,$179.12 
1,90,$258.73 
1,1489,$136.37 
1,781,$165.35 
1,209,$287.84 
1,2352,$111.52 
1,1508,$145.17 
1,723,$154.89 
1,498,$162.87 
1,1401,$139.69 
1,2277,$120.22 
1,1110,$180.05 
1,1537,$180.54 
1,352,$257.51 
1,541,$185.57 
1,392,$273.46 
1,80,$353.88 
1,656,$229.53 
1,1448,$134.13 
1,234,$360.64 
1,1138,$192.38 
1,815,$170.60 
1,935,$193.03 
1,2050,$126.25 
1,1126,$156.27 
1,1850,$129.54 
1,256,$281.56 
1,323,$233.15 
1,520,$170.36 
1,1247,$134.10 
1,1063,$156.68 
1,57,$255.85 
1,642,$161.34 
1,759,$150.92 
1,804,$169.18 
1,147,$214.62 
1,277,$228.61 
1,181,$368.28 
1,358,$238.82 
1,127,$269.75 
1,427,$237.99 
1,596,$169.92 
1,236,$243.63 
1,809,$200.05 
1,1139,$148.17 
1,738,$199.68 
1,1118,$130.27 
1,80,$216.44 
1,1109,$133.95 
1,922,$187.55 
1,1800,$129.02 
1,2057,$112.51 
1,1754,$129.67 
1,935,$389.91 
2,2266,$112.17 
2,692,$202.05 
2,904,$462.12 
2,1601,$132.18 
2,367,$198.40 
2,803,$156.38 
2,1801,$117.95 
2,911,$162.70 
2,577,$271.77 
2,200,$335.16 
2,50,$245.98 
2,2077,$117.79 
2,665,$217.98 
2,1562,$141.76 
2,439,$264.04 
2,974,$141.53 
2,733,$171.02 
2,911,$186.41 
2,2110,$123.99 
2,527,$282.39 
2,1024,$185.63 
2,172,$345.42 
2,760,$181.87 
2,242,$187.89 
2,1098,$205.49 
2,1064,$158.70 
2,1053,$445.98 
2,244,$319.98 
2,434,$336.42 
2,2226,$116.58 
2,1040,$149.67 
2,1587,$136.43 
2,2379,$125.47 
2,388,$248.20 
2,1240,$142.74 
2,648,$225.53 
2,2174,$122.55 
2,493,$312.73 
2,398,$163.11 
2,548,$169.47 
2,517,$161.91 
2,1560,$134.12 
2,435,$192.07 
2,1345,$158.39 
2,527,$168.36 
2,511,$228.26 
2,831,$138.16 
2,1039,$131.29 
2,584,$188.90 
2,1076,$136.25 
2,57,$245.04 
2,457,$168.32 
2,362,$233.33 
2,913,$157.26 
2,961,$298.38 
2,1136,$142.38 
2,683,$186.42 
2,800,$150.56 
2,973,$184.90 
2,1907,$118.58 
2,1246,$154.41 
2,1828,$127.81 
2,1591,$126.38 
2,1861,$111.54 
2,2289,$124.42 
2,908,$412.58 
3,2486,$112.74 
3,856,$462.01 
3,1308,$137.47 
3,1563,$133.78 
3,414,$217.14 
3,2161,$106.26 
3,1352,$130.94 
3,1095,$182.35 
3,638,$272.29 
3,160,$309.95 
3,103,$215.13 
3,834,$160.90 
3,1132,$145.93 
3,1424,$158.92 
3,1385,$154.90 
3,797,$138.77 
3,765,$277.24 
3,1020,$175.22 
3,816,$179.28 
3,510,$256.47 
3,860,$186.14 
3,292,$308.35 
3,600,$275.74 
3,282,$258.90 
3,60,$359.21 
3,179,$193.39 
3,899,$165.80 
3,557,$208.35 
3,621,$192.38 
3,1425,$130.11 
3,426,$199.77 
3,746,$211.77 
3,1977,$125.70 
3,1451,$131.99 
3,975,$176.94 
3,2319,$123.17 
3,1389,$140.13 
3,673,$161.69 
3,889,$161.76 
3,391,$344.83 
3,614,$188.61 
3,1369,$157.00 
3,622,$192.60 
3,1159,$144.29 
3,1103,$134.13 
3,1084,$148.26 
3,600,$164.93 
3,1153,$148.01 
3,332,$232.47 
3,534,$199.34 
3,720,$202.07 
3,703,$157.29 
3,895,$158.51 
3,599,$193.35 
3,309,$204.74 
3,684,$160.61 
3,755,$199.75 
3,1002,$186.88 
3,1457,$130.58 
3,1929,$120.42 
3,1395,$151.22 
3,2326,$126.24 
3,1702,$127.58 
3,1659,$128.14 
3,1866,$114.88 
3,1723,$128.07 
4,2599,$105.34 
4,768,$511.20 
4,944,$371.75 
4,1245,$137.50 
4,421,$205.60 
4,240,$209.01 
4,2155,$105.22 
4,1485,$136.02 
4,1151,$146.73 
4,622,$170.87 
4,1977,$119.33 
4,747,$173.01 
4,1334,$141.76 
4,997,$195.04 
4,959,$265.45 
4,1095,$154.99 
4,788,$152.97 
4,988,$192.50 
4,1046,$187.07 
4,1053,$179.72 
4,631,$198.73 
4,903,$195.44 
4,47,$241.23 
4,751,$200.35 
4,875,$181.34 
4,815,$197.85 
4,1440,$140.70 
4,2477,$116.66 
4,2533,$116.80 
4,1175,$141.75 
4,455,$211.13 
4,623,$238.10 
4,898,$153.22 
4,888,$177.07 
4,1424,$140.69 
4,897,$165.42 
4,561,$172.07 
4,952,$169.66 
4,1015,$144.38 
4,203,$331.33 
4,1062,$188.83 
4,412,$203.91 
4,772,$219.22 
4,763,$191.15 
4,2466,$120.69 
4,2032,$116.51 
4,1223,$144.80 
4,790,$157.65 
4,1220,$148.02 
4,1075,$159.85 
4,100,$245.21 
4,867,$176.66 
4,1243,$149.48 
4,1138,$187.67 
4,562,$165.26 
4,455,$226.29 
4,771,$189.29 
4,392,$292.44 
4,951,$185.24 
4,976,$158.92 
4,1988,$125.32 
4,1163,$151.25 
4,1367,$152.74 
4,2234,$126.04 
4,1239,$132.69 
4,1773,$108.60 
4,515,$169.03 
5,2618,$106.51 
5,680,$292.31 
5,557,$224.10 
5,2316,$123.48 
5,2021,$107.21 
5,962,$164.47 
5,1259,$149.15 
5,1062,$152.53 
5,2371,$111.12 
5,1504,$173.71 
5,748,$175.84 
5,998,$146.61 
5,419,$195.25 
5,792,$204.99 
5,1179,$155.23 
5,800,$190.47 
5,1647,$132.50 
5,1116,$156.74 
5,1150,$159.87 
5,388,$257.07 
5,1233,$157.67 
5,560,$171.81 
5,753,$200.64 
5,526,$212.29 
5,1317,$194.26 
5,1066,$169.19 
5,1050,$186.55 
5,1315,$141.79 
5,1250,$151.12 
5,1239,$143.58 
5,858,$197.07 
5,1102,$147.88 
5,1116,$144.09 
5,721,$197.68 
5,966,$156.12 
5,1412,$134.22 
5,505,$238.51 
5,1115,$144.60 
5,475,$210.09 
5,385,$193.02 
5,1061,$143.22 
5,2624,$113.38 
5,2147,$125.08 
5,1719,$148.89 
5,1093,$160.37 
5,497,$219.03 
5,799,$172.14 
5,1336,$153.08 
5,862,$164.34 
5,878,$203.75 
5,1207,$175.89 
5,408,$201.30 
5,493,$219.48 
5,563,$204.97 
5,479,$224.15 
5,297,$227.34 
5,1008,$143.37 
5,1124,$142.10 
5,1125,$142.21 
5,1566,$133.32 
5,1855,$129.79 
5,1769,$115.28 
5,709,$166.96 
6,2058,$133.93 
6,524,$308.85 
6,597,$210.84 
6,1307,$160.14 
6,23,$267.28 
6,657,$164.59 
6,551,$212.96 
6,1012,$221.03 
6,1216,$144.50 
6,765,$206.14 
6,1268,$175.84 
6,533,$243.33 
6,641,$263.18 
6,628,$292.20 
6,1290,$132.51 
6,870,$239.72 
6,1008,$156.75 
6,1467,$180.57 
6,1149,$179.99 
6,956,$211.11 
6,872,$302.85 
6,35,$241.35 
6,1313,$164.14 
6,441,$388.12 
6,1218,$229.03 
6,782,$220.79 
6,1443,$142.07 
6,928,$241.52 
6,150,$253.29 
6,553,$211.54 
6,780,$304.33 
6,907,$207.27 
6,1170,$153.25 
6,887,$236.07 
6,752,$206.36 
6,367,$263.62 
6,767,$226.90 
6,413,$260.44 
6,395,$259.29 
6,857,$236.95 
6,446,$219.34 
6,639,$293.16 
6,642,$285.08 
6,2423,$120.78 
6,1083,$207.89 
6,2383,$125.24 
6,1035,$221.96 
6,1566,$149.12 
6,710,$212.52 
6,304,$337.37 
6,1063,$172.14 
6,392,$249.58 
6,1125,$219.76 
6,701,$213.80 
6,885,$176.41 
6,676,$258.68 
6,100,$326.03 
6,877,$233.50 
6,574,$189.84 
6,882,$199.91 
6,591,$226.05 
6,529,$270.79 
6,763,$215.58 
6,655,$198.06 
6,1269,$192.36 
6,1108,$132.91 
6,1051,$171.82 
6,1031,$139.49 
6,952,$167.26 
6,860,$212.26 
7,1665,$184.59 
7,690,$221.63 
7,850,$234.73 
7,572,$160.26 
7,846,$219.21 
7,427,$268.06 
7,53,$322.18 
7,699,$248.62 
7,980,$271.22 
7,202,$251.58 
7,838,$208.57 
7,871,$175.87 
7,600,$217.55 
7,540,$263.99 
7,695,$308.64 
7,793,$259.37 
7,1512,$185.56 
7,1275,$159.96 
7,1114,$180.37 
7,980,$291.17 
7,532,$322.72 
7,550,$320.89 
7,498,$311.61 
7,1073,$205.30 
7,443,$415.13 
7,1130,$336.42 
7,1085,$278.11 
7,730,$340.73 
7,1148,$227.69 
7,1466,$153.48 
7,775,$246.79 
7,962,$225.09 
7,319,$312.46 
7,604,$273.43 
7,476,$270.73 
7,448,$320.95 
7,608,$259.12 
7,228,$513.51 
7,171,$285.90 
7,324,$407.08 
7,944,$210.67 
7,300,$285.02 
7,905,$212.85 
7,607,$280.28 
7,593,$289.48 
7,386,$347.79 
7,545,$335.87 
7,712,$213.85 
7,400,$282.85 
7,865,$298.66 
7,502,$297.69 
7,193,$234.18 
7,761,$246.17 
7,1021,$224.54 
7,1225,$177.93 
7,799,$227.61 
7,910,$226.03 
7,661,$288.61 
7,705,$163.42 
7,301,$260.35 
7,1528,$186.44 
7,1068,$133.03 
7,1129,$168.10 
7,852,$151.48 
7,1049,$223.48 